,behavior,cluster,date,depth,ephys,isiViolations,nSpikes,sessiontype,subject,tetrode,tetrodes
0,"[None, None]",1.0,2016-11-08,950.0,"['2016-11-08_15-27-14', '2016-11-08_15-30-37']",0.0,3.0,"['noisebursts', 'laserPulse']",band015,2.0,[2]
1,"[None, None]",2.0,2016-11-08,950.0,"['2016-11-08_15-27-14', '2016-11-08_15-30-37']",4.22077922078,309.0,"['noisebursts', 'laserPulse']",band015,2.0,[2]
2,"[None, None]",1.0,2016-11-10,1090.0,"['2016-11-10_13-17-42', '2016-11-10_13-20-02']",0.0,4.0,"['noisebursts', 'laserPulse']",band015,2.0,[2]
3,"[None, None]",2.0,2016-11-10,1090.0,"['2016-11-10_13-17-42', '2016-11-10_13-20-02']",7.47126436782,175.0,"['noisebursts', 'laserPulse']",band015,2.0,[2]
4,"[None, None]",3.0,2016-11-10,1090.0,"['2016-11-10_13-17-42', '2016-11-10_13-20-02']",7.02179176755,827.0,"['noisebursts', 'laserPulse']",band015,2.0,[2]
5,"[None, None]",4.0,2016-11-10,1090.0,"['2016-11-10_13-17-42', '2016-11-10_13-20-02']",1.54320987654,973.0,"['noisebursts', 'laserPulse']",band015,2.0,[2]
6,"[None, None]",5.0,2016-11-10,1090.0,"['2016-11-10_13-17-42', '2016-11-10_13-20-02']",0.836820083682,240.0,"['noisebursts', 'laserPulse']",band015,2.0,[2]
7,"[None, None]",1.0,2016-11-10,1175.0,"['2016-11-10_13-35-16', '2016-11-10_13-37-29']",0.0,8.0,"['noisebursts', 'laserPulse']",band015,2.0,"[2, 6, 8]"
8,"[None, None]",2.0,2016-11-10,1175.0,"['2016-11-10_13-35-16', '2016-11-10_13-37-29']",0.0,111.0,"['noisebursts', 'laserPulse']",band015,2.0,"[2, 6, 8]"
9,"[None, None]",3.0,2016-11-10,1175.0,"['2016-11-10_13-35-16', '2016-11-10_13-37-29']",9.75609756098,575.0,"['noisebursts', 'laserPulse']",band015,2.0,"[2, 6, 8]"
10,"[None, None]",4.0,2016-11-10,1175.0,"['2016-11-10_13-35-16', '2016-11-10_13-37-29']",0.0,189.0,"['noisebursts', 'laserPulse']",band015,2.0,"[2, 6, 8]"
11,"[None, None]",5.0,2016-11-10,1175.0,"['2016-11-10_13-35-16', '2016-11-10_13-37-29']",6.98088039129,2250.0,"['noisebursts', 'laserPulse']",band015,2.0,"[2, 6, 8]"
12,"[None, None]",1.0,2016-11-10,1175.0,"['2016-11-10_13-35-16', '2016-11-10_13-37-29']",0.0,4.0,"['noisebursts', 'laserPulse']",band015,6.0,"[2, 6, 8]"
13,"[None, None]",2.0,2016-11-10,1175.0,"['2016-11-10_13-35-16', '2016-11-10_13-37-29']",1.02040816327,99.0,"['noisebursts', 'laserPulse']",band015,6.0,"[2, 6, 8]"
14,"[None, None]",1.0,2016-11-10,1175.0,"['2016-11-10_13-35-16', '2016-11-10_13-37-29']",0.0,7.0,"['noisebursts', 'laserPulse']",band015,8.0,"[2, 6, 8]"
15,"[None, None]",2.0,2016-11-10,1175.0,"['2016-11-10_13-35-16', '2016-11-10_13-37-29']",0.0,90.0,"['noisebursts', 'laserPulse']",band015,8.0,"[2, 6, 8]"
16,"[None, None, 'band015_am_tuning_curve_20161110a.h5', 'band015_am_tuning_curve_20161110b.h5', 'band015_bandwidth_am_20161110c.h5', None, None]",1.0,2016-11-10,1225.0,"['2016-11-10_13-51-34', '2016-11-10_13-54-14', '2016-11-10_13-58-01', '2016-11-10_14-10-55', '2016-11-10_14-18-03', '2016-11-10_14-29-13', '2016-11-10_14-31-35']",0.0,5.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'laserTrain']",band015,2.0,"[2, 6]"
17,"[None, None, 'band015_am_tuning_curve_20161110a.h5', 'band015_am_tuning_curve_20161110b.h5', 'band015_bandwidth_am_20161110c.h5', None, None]",2.0,2016-11-10,1225.0,"['2016-11-10_13-51-34', '2016-11-10_13-54-14', '2016-11-10_13-58-01', '2016-11-10_14-10-55', '2016-11-10_14-18-03', '2016-11-10_14-29-13', '2016-11-10_14-31-35']",0.647249190939,619.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'laserTrain']",band015,2.0,"[2, 6]"
18,"[None, None, 'band015_am_tuning_curve_20161110a.h5', 'band015_am_tuning_curve_20161110b.h5', 'band015_bandwidth_am_20161110c.h5', None, None]",3.0,2016-11-10,1225.0,"['2016-11-10_13-51-34', '2016-11-10_13-54-14', '2016-11-10_13-58-01', '2016-11-10_14-10-55', '2016-11-10_14-18-03', '2016-11-10_14-29-13', '2016-11-10_14-31-35']",0.884955752212,227.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'laserTrain']",band015,2.0,"[2, 6]"
19,"[None, None, 'band015_am_tuning_curve_20161110a.h5', 'band015_am_tuning_curve_20161110b.h5', 'band015_bandwidth_am_20161110c.h5', None, None]",4.0,2016-11-10,1225.0,"['2016-11-10_13-51-34', '2016-11-10_13-54-14', '2016-11-10_13-58-01', '2016-11-10_14-10-55', '2016-11-10_14-18-03', '2016-11-10_14-29-13', '2016-11-10_14-31-35']",0.0,878.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'laserTrain']",band015,2.0,"[2, 6]"
20,"[None, None, 'band015_am_tuning_curve_20161110a.h5', 'band015_am_tuning_curve_20161110b.h5', 'band015_bandwidth_am_20161110c.h5', None, None]",5.0,2016-11-10,1225.0,"['2016-11-10_13-51-34', '2016-11-10_13-54-14', '2016-11-10_13-58-01', '2016-11-10_14-10-55', '2016-11-10_14-18-03', '2016-11-10_14-29-13', '2016-11-10_14-31-35']",2.07468879668,242.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'laserTrain']",band015,2.0,"[2, 6]"
