,behavior,brainarea,cluster,date,depth,ephys,info,isiViolations,nSpikes,sessiontype,subject,tetrode,clusterQuality
0,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,2,2017-03-17,3204,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0,339,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,1,2
1,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,3,2017-03-17,3204,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,1.4022140221,1356,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,1,3
2,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,4,2017-03-17,3204,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.6444683136,932,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,1,3
3,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,5,2017-03-17,3204,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.2589928058,3476,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,1,1
4,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,2,2017-03-17,3204,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.9113001215,1647,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3,0
5,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,3,2017-03-17,3204,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0,892,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3,2
6,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,4,2017-03-17,3204,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.1634295053,15910,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3,1
7,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,5,2017-03-17,3204,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.8203445447,1220,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3,2
8,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,6,2017-03-17,3204,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.1563314226,1920,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3,2
9,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,2,2017-03-17,3204,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0,633,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,5,2
