,behavior,cluster,date,depth,ephys,isiViolations,nSpikes,sessiontype,subject,tetrode,tetrodes
0,"[None, None, 'band016_am_tuning_curve_20161211a.h5', 'band016_am_tuning_curve_20161211b.h5', None, None, 'band016_bandwidth_am_20161211c.h5']",1.0,2016-12-11,850.0,"['2016-12-11_13-45-58', '2016-12-11_13-47-57', '2016-12-11_13-51-30', '2016-12-11_14-02-27', '2016-12-11_14-08-29', '2016-12-11_14-11-00', '2016-12-11_14-13-19']",4.7619047619,22.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band016,2.0,"[2, 6]"
1,"[None, None, 'band016_am_tuning_curve_20161211a.h5', 'band016_am_tuning_curve_20161211b.h5', None, None, 'band016_bandwidth_am_20161211c.h5']",2.0,2016-12-11,850.0,"['2016-12-11_13-45-58', '2016-12-11_13-47-57', '2016-12-11_13-51-30', '2016-12-11_14-02-27', '2016-12-11_14-08-29', '2016-12-11_14-11-00', '2016-12-11_14-13-19']",0.664908231674,18199.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band016,2.0,"[2, 6]"
2,"[None, None, 'band016_am_tuning_curve_20161211a.h5', 'band016_am_tuning_curve_20161211b.h5', None, None, 'band016_bandwidth_am_20161211c.h5']",3.0,2016-12-11,850.0,"['2016-12-11_13-45-58', '2016-12-11_13-47-57', '2016-12-11_13-51-30', '2016-12-11_14-02-27', '2016-12-11_14-08-29', '2016-12-11_14-11-00', '2016-12-11_14-13-19']",7.86713286713,4005.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band016,2.0,"[2, 6]"
3,"[None, None, 'band016_am_tuning_curve_20161211a.h5', 'band016_am_tuning_curve_20161211b.h5', None, None, 'band016_bandwidth_am_20161211c.h5']",4.0,2016-12-11,850.0,"['2016-12-11_13-45-58', '2016-12-11_13-47-57', '2016-12-11_13-51-30', '2016-12-11_14-02-27', '2016-12-11_14-08-29', '2016-12-11_14-11-00', '2016-12-11_14-13-19']",0.383325347389,4175.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band016,2.0,"[2, 6]"
4,"[None, None, 'band016_am_tuning_curve_20161211a.h5', 'band016_am_tuning_curve_20161211b.h5', None, None, 'band016_bandwidth_am_20161211c.h5']",5.0,2016-12-11,850.0,"['2016-12-11_13-45-58', '2016-12-11_13-47-57', '2016-12-11_13-51-30', '2016-12-11_14-02-27', '2016-12-11_14-08-29', '2016-12-11_14-11-00', '2016-12-11_14-13-19']",13.6664217487,1362.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band016,2.0,"[2, 6]"
5,"[None, None, 'band016_am_tuning_curve_20161211a.h5', 'band016_am_tuning_curve_20161211b.h5', None, None, 'band016_bandwidth_am_20161211c.h5']",6.0,2016-12-11,850.0,"['2016-12-11_13-45-58', '2016-12-11_13-47-57', '2016-12-11_13-51-30', '2016-12-11_14-02-27', '2016-12-11_14-08-29', '2016-12-11_14-11-00', '2016-12-11_14-13-19']",0.42492917847,707.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band016,2.0,"[2, 6]"
6,"[None, None, 'band016_am_tuning_curve_20161211a.h5', 'band016_am_tuning_curve_20161211b.h5', None, None, 'band016_bandwidth_am_20161211c.h5']",1.0,2016-12-11,850.0,"['2016-12-11_13-45-58', '2016-12-11_13-47-57', '2016-12-11_13-51-30', '2016-12-11_14-02-27', '2016-12-11_14-08-29', '2016-12-11_14-11-00', '2016-12-11_14-13-19']",8.45070422535,72.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band016,6.0,"[2, 6]"
7,"[None, None, 'band016_am_tuning_curve_20161211a.h5', 'band016_am_tuning_curve_20161211b.h5', None, None, 'band016_bandwidth_am_20161211c.h5']",2.0,2016-12-11,850.0,"['2016-12-11_13-45-58', '2016-12-11_13-47-57', '2016-12-11_13-51-30', '2016-12-11_14-02-27', '2016-12-11_14-08-29', '2016-12-11_14-11-00', '2016-12-11_14-13-19']",8.99640899641,5292.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band016,6.0,"[2, 6]"
8,"[None, None, 'band016_am_tuning_curve_20161211a.h5', 'band016_am_tuning_curve_20161211b.h5', None, None, 'band016_bandwidth_am_20161211c.h5']",3.0,2016-12-11,850.0,"['2016-12-11_13-45-58', '2016-12-11_13-47-57', '2016-12-11_13-51-30', '2016-12-11_14-02-27', '2016-12-11_14-08-29', '2016-12-11_14-11-00', '2016-12-11_14-13-19']",1.11517160833,26544.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band016,6.0,"[2, 6]"
9,"[None, None, 'band016_am_tuning_curve_20161211a.h5', 'band016_am_tuning_curve_20161211b.h5', None, None, 'band016_bandwidth_am_20161211c.h5']",4.0,2016-12-11,850.0,"['2016-12-11_13-45-58', '2016-12-11_13-47-57', '2016-12-11_13-51-30', '2016-12-11_14-02-27', '2016-12-11_14-08-29', '2016-12-11_14-11-00', '2016-12-11_14-13-19']",2.41929149321,12732.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band016,6.0,"[2, 6]"
10,"[None, None, 'band016_am_tuning_curve_20161211a.h5', 'band016_am_tuning_curve_20161211b.h5', None, None, 'band016_bandwidth_am_20161211c.h5']",5.0,2016-12-11,850.0,"['2016-12-11_13-45-58', '2016-12-11_13-47-57', '2016-12-11_13-51-30', '2016-12-11_14-02-27', '2016-12-11_14-08-29', '2016-12-11_14-11-00', '2016-12-11_14-13-19']",17.0897832817,3231.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band016,6.0,"[2, 6]"
11,"[None, None, 'band016_am_tuning_curve_20161211a.h5', 'band016_am_tuning_curve_20161211b.h5', None, None, 'band016_bandwidth_am_20161211c.h5']",6.0,2016-12-11,850.0,"['2016-12-11_13-45-58', '2016-12-11_13-47-57', '2016-12-11_13-51-30', '2016-12-11_14-02-27', '2016-12-11_14-08-29', '2016-12-11_14-11-00', '2016-12-11_14-13-19']",1.13036925396,25214.0,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band016,6.0,"[2, 6]"
12,[None],1.0,2016-12-11,900.0,['2016-12-11_14-35-05'],0.0,11.0,['laserPulse'],band016,2.0,"[2, 3, 4, 6]"
13,[None],2.0,2016-12-11,900.0,['2016-12-11_14-35-05'],0.564971751412,178.0,['laserPulse'],band016,2.0,"[2, 3, 4, 6]"
14,[None],3.0,2016-12-11,900.0,['2016-12-11_14-35-05'],1.2084592145,663.0,['laserPulse'],band016,2.0,"[2, 3, 4, 6]"
15,[None],1.0,2016-12-11,900.0,['2016-12-11_14-35-05'],0.0,14.0,['laserPulse'],band016,3.0,"[2, 3, 4, 6]"
16,[None],1.0,2016-12-11,900.0,['2016-12-11_14-35-05'],0.0,23.0,['laserPulse'],band016,4.0,"[2, 3, 4, 6]"
17,[None],2.0,2016-12-11,900.0,['2016-12-11_14-35-05'],0.0,131.0,['laserPulse'],band016,4.0,"[2, 3, 4, 6]"
18,[None],1.0,2016-12-11,900.0,['2016-12-11_14-35-05'],5.12820512821,40.0,['laserPulse'],band016,6.0,"[2, 3, 4, 6]"
19,[None],2.0,2016-12-11,900.0,['2016-12-11_14-35-05'],0.0,134.0,['laserPulse'],band016,6.0,"[2, 3, 4, 6]"
20,[None],3.0,2016-12-11,900.0,['2016-12-11_14-35-05'],0.0,326.0,['laserPulse'],band016,6.0,"[2, 3, 4, 6]"
21,[None],4.0,2016-12-11,900.0,['2016-12-11_14-35-05'],0.0,204.0,['laserPulse'],band016,6.0,"[2, 3, 4, 6]"
