,behavior,cluster,date,depth,ephys,isiViolations,nSpikes,sessiontype,subject,tetrode,tetrodes
0,"[None, 'band003_am_tuning_curve_20160818a.h5', 'band003_am_tuning_curve_20160818b.h5', 'band003_bandwidth_am_20160818c.h5']",1.0,2016-08-18,830.0,"['2016-08-18_11-15-19', '2016-08-18_11-18-21', '2016-08-18_11-29-17', '2016-08-18_11-36-55']",0.0,18.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,2.0,[2]
1,"[None, 'band003_am_tuning_curve_20160818a.h5', 'band003_am_tuning_curve_20160818b.h5', 'band003_bandwidth_am_20160818c.h5']",2.0,2016-08-18,830.0,"['2016-08-18_11-15-19', '2016-08-18_11-18-21', '2016-08-18_11-29-17', '2016-08-18_11-36-55']",3.35144927536,1105.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,2.0,[2]
2,"[None, 'band003_am_tuning_curve_20160818a.h5', 'band003_am_tuning_curve_20160818b.h5', 'band003_bandwidth_am_20160818c.h5']",3.0,2016-08-18,830.0,"['2016-08-18_11-15-19', '2016-08-18_11-18-21', '2016-08-18_11-29-17', '2016-08-18_11-36-55']",0.434928069588,2990.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,2.0,[2]
3,"[None, 'band003_am_tuning_curve_20160818a.h5', 'band003_am_tuning_curve_20160818b.h5', 'band003_bandwidth_am_20160818c.h5']",4.0,2016-08-18,830.0,"['2016-08-18_11-15-19', '2016-08-18_11-18-21', '2016-08-18_11-29-17', '2016-08-18_11-36-55']",1.88224994528,4570.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,2.0,[2]
4,"[None, 'band003_am_tuning_curve_20160818a.h5', 'band003_am_tuning_curve_20160818b.h5', 'band003_bandwidth_am_20160818c.h5']",5.0,2016-08-18,830.0,"['2016-08-18_11-15-19', '2016-08-18_11-18-21', '2016-08-18_11-29-17', '2016-08-18_11-36-55']",0.903342366757,2215.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,2.0,[2]
5,"[None, 'band003_am_tuning_curve_20160818a.h5', 'band003_am_tuning_curve_20160818b.h5', 'band003_bandwidth_am_20160818c.h5']",6.0,2016-08-18,830.0,"['2016-08-18_11-15-19', '2016-08-18_11-18-21', '2016-08-18_11-29-17', '2016-08-18_11-36-55']",0.464653169598,3014.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,2.0,[2]
6,"[None, 'band003_am_tuning_curve_20160818d.h5', 'band003_am_tuning_curve_20160818e.h5', 'band003_bandwidth_am_20160818f.h5']",1.0,2016-08-18,880.0,"['2016-08-18_11-58-29', '2016-08-18_12-00-44', '2016-08-18_12-11-58', '2016-08-18_12-20-31']",16.6666666667,13.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,1.0,"[1, 2, 8]"
7,"[None, 'band003_am_tuning_curve_20160818d.h5', 'band003_am_tuning_curve_20160818e.h5', 'band003_bandwidth_am_20160818f.h5']",2.0,2016-08-18,880.0,"['2016-08-18_11-58-29', '2016-08-18_12-00-44', '2016-08-18_12-11-58', '2016-08-18_12-20-31']",0.0,752.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,1.0,"[1, 2, 8]"
8,"[None, 'band003_am_tuning_curve_20160818d.h5', 'band003_am_tuning_curve_20160818e.h5', 'band003_bandwidth_am_20160818f.h5']",3.0,2016-08-18,880.0,"['2016-08-18_11-58-29', '2016-08-18_12-00-44', '2016-08-18_12-11-58', '2016-08-18_12-20-31']",0.0,279.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,1.0,"[1, 2, 8]"
9,"[None, 'band003_am_tuning_curve_20160818d.h5', 'band003_am_tuning_curve_20160818e.h5', 'band003_bandwidth_am_20160818f.h5']",4.0,2016-08-18,880.0,"['2016-08-18_11-58-29', '2016-08-18_12-00-44', '2016-08-18_12-11-58', '2016-08-18_12-20-31']",6.35460028885,11772.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,1.0,"[1, 2, 8]"
10,"[None, 'band003_am_tuning_curve_20160818d.h5', 'band003_am_tuning_curve_20160818e.h5', 'band003_bandwidth_am_20160818f.h5']",5.0,2016-08-18,880.0,"['2016-08-18_11-58-29', '2016-08-18_12-00-44', '2016-08-18_12-11-58', '2016-08-18_12-20-31']",7.49258160237,1349.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,1.0,"[1, 2, 8]"
11,"[None, 'band003_am_tuning_curve_20160818d.h5', 'band003_am_tuning_curve_20160818e.h5', 'band003_bandwidth_am_20160818f.h5']",1.0,2016-08-18,880.0,"['2016-08-18_11-58-29', '2016-08-18_12-00-44', '2016-08-18_12-11-58', '2016-08-18_12-20-31']",28.5714285714,8.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,2.0,"[1, 2, 8]"
