,behavior,cluster,date,depth,ephys,isiViolations,nSpikes,sessiontype,subject,tetrode,tetrodes,clusterQuality
0,[None],1,2016-08-11,837,['2016-08-11_09-48-08'],0.0,8,['noisebursts'],band002,1,"[1, 2, 4, 6]",0
1,[None],1,2016-08-11,837,['2016-08-11_09-48-08'],0.0,32,['noisebursts'],band002,2,"[1, 2, 4, 6]",0
2,[None],2,2016-08-11,837,['2016-08-11_09-48-08'],0.0,272,['noisebursts'],band002,2,"[1, 2, 4, 6]",1
3,[None],3,2016-08-11,837,['2016-08-11_09-48-08'],1.1627906977,87,['noisebursts'],band002,2,"[1, 2, 4, 6]",2
4,[None],1,2016-08-11,837,['2016-08-11_09-48-08'],0.0,10,['noisebursts'],band002,4,"[1, 2, 4, 6]",0
5,[None],2,2016-08-11,837,['2016-08-11_09-48-08'],0.0,41,['noisebursts'],band002,4,"[1, 2, 4, 6]",0
6,[None],1,2016-08-11,837,['2016-08-11_09-48-08'],0.0,9,['noisebursts'],band002,6,"[1, 2, 4, 6]",0
7,[None],2,2016-08-11,837,['2016-08-11_09-48-08'],0.0,14,['noisebursts'],band002,6,"[1, 2, 4, 6]",0
9,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",2,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.809352518,1113,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 4, 6]",3
10,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",3,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,689,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 4, 6]",2
11,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",4,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.2688172043,373,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 4, 6]",2
12,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",5,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.1756440281,1709,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 4, 6]",2
13,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",1,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,52,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",0
14,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",2,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,2204,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1
15,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",3,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",1.455399061,2131,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",0
16,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",4,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,782,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1
17,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",5,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.5106382979,5876,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1
18,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",6,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0604777744,3308,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1
19,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",1,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,4,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 4, 6]",0
20,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",2,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,231,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 4, 6]",0
21,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",3,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,780,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 4, 6]",0
22,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",4,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,1626,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 4, 6]",1
23,['band002_am_tuning_curve_20160811e.h5'],1,2016-08-11,1007,['2016-08-11_10-36-29'],0.0,3,['noisebursts'],band002,2,"[2, 3, 4, 6]",0
24,['band002_am_tuning_curve_20160811e.h5'],2,2016-08-11,1007,['2016-08-11_10-36-29'],1.0869565217,93,['noisebursts'],band002,2,"[2, 3, 4, 6]",0
25,['band002_am_tuning_curve_20160811e.h5'],1,2016-08-11,1007,['2016-08-11_10-36-29'],0.0,11,['noisebursts'],band002,3,"[2, 3, 4, 6]",0
26,['band002_am_tuning_curve_20160811e.h5'],1,2016-08-11,1007,['2016-08-11_10-36-29'],0.0,3,['noisebursts'],band002,4,"[2, 3, 4, 6]",0
27,['band002_am_tuning_curve_20160811e.h5'],2,2016-08-11,1007,['2016-08-11_10-36-29'],0.5970149254,336,['noisebursts'],band002,4,"[2, 3, 4, 6]",0
28,['band002_am_tuning_curve_20160811e.h5'],3,2016-08-11,1007,['2016-08-11_10-36-29'],0.0,633,['noisebursts'],band002,4,"[2, 3, 4, 6]",2
29,['band002_am_tuning_curve_20160811e.h5'],1,2016-08-11,1007,['2016-08-11_10-36-29'],0.0,20,['noisebursts'],band002,6,"[2, 3, 4, 6]",0
30,['band002_am_tuning_curve_20160811e.h5'],2,2016-08-11,1007,['2016-08-11_10-36-29'],0.0,54,['noisebursts'],band002,6,"[2, 3, 4, 6]",1
31,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",1,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,7,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 4, 6]",0
32,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",2,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",1.0298661174,972,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 4, 6]",0
33,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",3,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,573,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 4, 6]",2
34,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",4,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.071787509,1394,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 4, 6]",3
35,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",5,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.1233045623,812,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 4, 6]",2
36,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",1,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,13,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",0
37,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",2,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.1321003963,758,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1
38,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",3,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.207253886,966,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",0
39,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",4,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,2063,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1
40,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",5,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,1224,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",2
41,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",6,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,569,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",0
42,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",1,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,2,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 4, 6]",0
43,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",2,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,16129,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 4, 6]",1
44,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",3,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,736,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 4, 6]",1
45,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",4,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.1225490196,817,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 4, 6]",3
46,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",5,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,413,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 4, 6]",2
48,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",1,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.0,15,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",0
49,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",2,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.0385728062,15556,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",1
50,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",3,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.3378378378,1481,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",1
51,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",4,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.4804392588,1458,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",0
52,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",5,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.1234350203,5672,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",1
53,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",6,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.2762430939,1811,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",2
54,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",1,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.0,2,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,3,"[2, 3, 4, 5, 6]",0
55,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",2,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.1524390244,1313,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,3,"[2, 3, 4, 5, 6]",0
56,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",3,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.1758499414,1707,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,3,"[2, 3, 4, 5, 6]",1
57,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",4,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.0,403,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,3,"[2, 3, 4, 5, 6]",0
58,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",1,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.0,32,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 3, 4, 5, 6]",0
59,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",2,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.156641604,15961,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 3, 4, 5, 6]",1
60,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",3,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.6849315068,4673,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 3, 4, 5, 6]",0
61,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",4,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.2257557911,10189,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 3, 4, 5, 6]",1
62,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",5,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",1.1489450595,38297,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 3, 4, 5, 6]",1
64,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",1,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.0,2,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,5,"[2, 3, 4, 5, 6]",0
65,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",2,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.0,435,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,5,"[2, 3, 4, 5, 6]",0
67,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",2,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.0,801,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 3, 4, 5, 6]",1
68,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",3,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.176366843,1135,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 3, 4, 5, 6]",0
69,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",4,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.0384135216,10414,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 3, 4, 5, 6]",1
70,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",5,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.0117647059,8501,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 3, 4, 5, 6]",1
71,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",6,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.1330671989,1504,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 3, 4, 5, 6]",1
72,"['band002_am_tuning_curve_20160811n.h5', 'band002_am_tuning_curve_20160811o.h5', 'band002_am_tuning_curve_20160811p.h5', 'band002_bandwidth_am_20160811q.h5']",1,2016-08-11,1250,"['2016-08-11_12-16-11', '2016-08-11_12-18-16', '2016-08-11_12-29-07', '2016-08-11_12-36-23']",0.0,7,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",0
73,"['band002_am_tuning_curve_20160811n.h5', 'band002_am_tuning_curve_20160811o.h5', 'band002_am_tuning_curve_20160811p.h5', 'band002_bandwidth_am_20160811q.h5']",2,2016-08-11,1250,"['2016-08-11_12-16-11', '2016-08-11_12-18-16', '2016-08-11_12-29-07', '2016-08-11_12-36-23']",0.195934362,4084,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",1
74,"['band002_am_tuning_curve_20160811n.h5', 'band002_am_tuning_curve_20160811o.h5', 'band002_am_tuning_curve_20160811p.h5', 'band002_bandwidth_am_20160811q.h5']",3,2016-08-11,1250,"['2016-08-11_12-16-11', '2016-08-11_12-18-16', '2016-08-11_12-29-07', '2016-08-11_12-36-23']",0.2288329519,1312,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",1
75,"['band002_am_tuning_curve_20160811n.h5', 'band002_am_tuning_curve_20160811o.h5', 'band002_am_tuning_curve_20160811p.h5', 'band002_bandwidth_am_20160811q.h5']",4,2016-08-11,1250,"['2016-08-11_12-16-11', '2016-08-11_12-18-16', '2016-08-11_12-29-07', '2016-08-11_12-36-23']",0.6363899335,3458,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",0
76,"['band002_am_tuning_curve_20160811n.h5', 'band002_am_tuning_curve_20160811o.h5', 'band002_am_tuning_curve_20160811p.h5', 'band002_bandwidth_am_20160811q.h5']",5,2016-08-11,1250,"['2016-08-11_12-16-11', '2016-08-11_12-18-16', '2016-08-11_12-29-07', '2016-08-11_12-36-23']",1.0061486864,3579,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",0
