,behavior,brainarea,cluster,date,depth,ephys,info,isiViolations,nSpikes,sessiontype,subject,tetrode,clusterQuality
147,"[None, 'band023_am_tuning_curve_20170320e.h5', 'band023_am_tuning_curve_20170320f.h5', 'band023_bandwidth_am_20170320g.h5', 'band023_bandwidth_am_20170320h.h5', 'band023_am_tuning_curve_20170320i.h5']",right_thalamus,2,2017-03-20,3418,"['2017-03-20_10-40-40', '2017-03-20_10-43-49', '2017-03-20_10-55-45', '2017-03-20_11-03-16', '2017-03-20_11-23-39', '2017-03-20_11-48-57']",anteriorDiI,0.2886508943,37070,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,1,1
148,"[None, 'band023_am_tuning_curve_20170320e.h5', 'band023_am_tuning_curve_20170320f.h5', 'band023_bandwidth_am_20170320g.h5', 'band023_bandwidth_am_20170320h.h5', 'band023_am_tuning_curve_20170320i.h5']",right_thalamus,3,2017-03-20,3418,"['2017-03-20_10-40-40', '2017-03-20_10-43-49', '2017-03-20_10-55-45', '2017-03-20_11-03-16', '2017-03-20_11-23-39', '2017-03-20_11-48-57']",anteriorDiI,0.0525762355,17119,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,1,1
155,"[None, 'band023_am_tuning_curve_20170320e.h5', 'band023_am_tuning_curve_20170320f.h5', 'band023_bandwidth_am_20170320g.h5', 'band023_bandwidth_am_20170320h.h5', 'band023_am_tuning_curve_20170320i.h5']",right_thalamus,6,2017-03-20,3418,"['2017-03-20_10-40-40', '2017-03-20_10-43-49', '2017-03-20_10-55-45', '2017-03-20_11-03-16', '2017-03-20_11-23-39', '2017-03-20_11-48-57']",anteriorDiI,0.4411802208,39214,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,4,1
161,"[None, 'band023_am_tuning_curve_20170320e.h5', 'band023_am_tuning_curve_20170320f.h5', 'band023_bandwidth_am_20170320g.h5', 'band023_bandwidth_am_20170320h.h5', 'band023_am_tuning_curve_20170320i.h5']",right_thalamus,3,2017-03-20,3418,"['2017-03-20_10-40-40', '2017-03-20_10-43-49', '2017-03-20_10-55-45', '2017-03-20_11-03-16', '2017-03-20_11-23-39', '2017-03-20_11-48-57']",anteriorDiI,0.1140250855,878,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,8,1
162,"[None, 'band023_am_tuning_curve_20170320e.h5', 'band023_am_tuning_curve_20170320f.h5', 'band023_bandwidth_am_20170320g.h5', 'band023_bandwidth_am_20170320h.h5', 'band023_am_tuning_curve_20170320i.h5']",right_thalamus,4,2017-03-20,3418,"['2017-03-20_10-40-40', '2017-03-20_10-43-49', '2017-03-20_10-55-45', '2017-03-20_11-03-16', '2017-03-20_11-23-39', '2017-03-20_11-48-57']",anteriorDiI,0.2372166579,3795,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,8,1
169,"[None, 'band023_am_tuning_curve_20170320j.h5', 'band023_am_tuning_curve_20170320k.h5', 'band023_bandwidth_am_20170320l.h5', 'band023_bandwidth_am_20170320m.h5', 'band023_am_tuning_curve_20170320n.h5']",right_thalamus,5,2017-03-20,3510,"['2017-03-20_11-58-58', '2017-03-20_12-02-09', '2017-03-20_12-14-19', '2017-03-20_12-31-05', '2017-03-20_12-50-19', '2017-03-20_13-09-42']",anteriorDiI,0.3170874927,25546,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,1,1
170,"[None, 'band023_am_tuning_curve_20170320j.h5', 'band023_am_tuning_curve_20170320k.h5', 'band023_bandwidth_am_20170320l.h5', 'band023_bandwidth_am_20170320m.h5', 'band023_am_tuning_curve_20170320n.h5']",right_thalamus,6,2017-03-20,3510,"['2017-03-20_11-58-58', '2017-03-20_12-02-09', '2017-03-20_12-14-19', '2017-03-20_12-31-05', '2017-03-20_12-50-19', '2017-03-20_13-09-42']",anteriorDiI,0.2005755647,11468,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,1,1
190,"[None, 'band023_am_tuning_curve_20170320o.h5', 'band023_am_tuning_curve_20170320p.h5', 'band023_bandwidth_am_20170320q.h5', 'band023_bandwidth_am_20170320r.h5', 'band023_am_tuning_curve_20170320s.h5', 'band023_bandwidth_am_20170320t.h5']",right_thalamus,2,2017-03-20,3605,"['2017-03-20_13-17-02', '2017-03-20_13-20-28', '2017-03-20_13-31-05', '2017-03-20_13-39-03', '2017-03-20_14-01-34', '2017-03-20_14-26-10', '2017-03-20_14-31-29']",anteriorDiI,1.3129366418,24907,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps', 'bandwidth']",band023,4,1
191,"[None, 'band023_am_tuning_curve_20170320o.h5', 'band023_am_tuning_curve_20170320p.h5', 'band023_bandwidth_am_20170320q.h5', 'band023_bandwidth_am_20170320r.h5', 'band023_am_tuning_curve_20170320s.h5', 'band023_bandwidth_am_20170320t.h5']",right_thalamus,3,2017-03-20,3605,"['2017-03-20_13-17-02', '2017-03-20_13-20-28', '2017-03-20_13-31-05', '2017-03-20_13-39-03', '2017-03-20_14-01-34', '2017-03-20_14-26-10', '2017-03-20_14-31-29']",anteriorDiI,1.4020805066,6634,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps', 'bandwidth']",band023,4,1
194,"[None, 'band023_am_tuning_curve_20170320o.h5', 'band023_am_tuning_curve_20170320p.h5', 'band023_bandwidth_am_20170320q.h5', 'band023_bandwidth_am_20170320r.h5', 'band023_am_tuning_curve_20170320s.h5', 'band023_bandwidth_am_20170320t.h5']",right_thalamus,4,2017-03-20,3605,"['2017-03-20_13-17-02', '2017-03-20_13-20-28', '2017-03-20_13-31-05', '2017-03-20_13-39-03', '2017-03-20_14-01-34', '2017-03-20_14-26-10', '2017-03-20_14-31-29']",anteriorDiI,0.0269251481,11143,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps', 'bandwidth']",band023,7,1
