,behavior,brainarea,cluster,clusterPeakAmplitudes,clusterPeakTimes,clusterSpikeSD,clusterSpikeShape,date,depth,ephys,indExperiment,indSite,info,inforecPath,isiViolations,nSpikes,sessiontype,subject,tetrode,clusterQuality,laserResponse,bestFreq,bestBand
10,[None],right_AC,2.0,[-12.2        -56.70904495  55.40413262],[ 0.          0.00026784  0.00073166],"[ 13.45629964  11.7670727   11.96361149  13.32006006  14.73907731
  14.97549999  14.18669799  13.21368987  12.83594952  14.1339308
  16.59951807  17.75414318  17.25860945  18.63613694  21.32607793
  22.39093567  22.70827162  20.97931362  17.62725163  16.04430117
  17.48719532  20.56213997  21.42260488  20.66096803  22.82192805
  25.34800978  26.36494643  27.69580474  28.71094565  29.0290613
  26.6720003   22.31175475  19.45497366  17.95181328  16.18197763
  15.7195547   17.35350109  14.96236612  14.42719654  15.04074466]","[-12.2  -16.4  -20.4  -25.4  -31.26 -36.48 -43.04 -51.52 -56.68 -52.8  -42.4
 -32.92 -26.58 -19.12  -8.72   1.5   10.72  20.82  30.8   39.58  47.7
  53.52  55.4   54.18  54.14  56.48  56.84  51.72  42.64  34.36  29.58
  24.36  17.2   12.22  10.86  10.26   5.8    3.34  -1.2   -5.8 ]",2017-07-27,1425.0,['2017-07-27_13-34-10'],0.0,1.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,10.0,['laserPulse'],band033,2.0,3.04030847799,False,,
11,[None],right_AC,3.0,[ -5.6        -54.65426429  41.90761816],[ 0.          0.00026784  0.0006794 ],"[ 11.1756879   14.18028208  15.33904821  16.41181282  14.44660514
  10.41976967   8.30989771  11.15456857  13.26764486  12.73265094
  11.42952317  11.12877352  12.04360411  12.36674573  14.69259678
  21.13008282  27.67826584  29.58500296  28.99644116  29.9261491
  30.38805028  28.73493344  25.95214057  21.86445517  19.40123707
  19.93184387  18.93437086  16.63437405  16.13499303  17.37082612
  18.74912265  19.12071128  17.30272811  13.71313239  10.43618704
  15.32052218  16.25670323  17.5860058   20.40412703  20.53181921]","[ -5.6  -12.94 -17.84 -19.82 -22.14 -28.62 -38.84 -49.46 -54.64 -50.66
 -41.1  -30.68 -20.46  -9.46   2.94  15.94  26.56  32.66  36.12  39.36
  41.72  41.06  37.28  33.96  31.8   29.96  29.24  27.76  23.7   19.52
  17.88  17.92  16.66  12.7    8.1    2.64   1.14   0.22   0.74   4.58]",2017-07-27,1425.0,['2017-07-27_13-34-10'],0.0,1.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,10.0,['laserPulse'],band033,2.0,3.07398971851,False,,
12,[None],right_AC,1.0,[  9.79566314 -87.50686755  49.8251895 ],[  7.83919598e-05   2.67839196e-04   7.83919598e-04],"[ 17.74891918  17.97288362  21.67927182  23.75541522  22.27970392
  19.49794649  26.47027336  38.31514061  42.31099734  37.93497699
  28.62900916  20.41937987  16.2141276   15.81800418  17.70474326
  20.32018091  21.64081123  22.33634699  23.43039807  23.79591082
  23.97467672  24.66201952  24.34663586  23.29397468  23.05741307
  23.02753652  21.67876861  19.16130096  18.22939457  19.35701978
  20.31038492  20.27712957  19.61659148  19.60542386  20.32217573
  21.61442929  21.41485543  19.14335653  17.93824116  18.1815    ]","[  1.36363636   3.7          9.20909091   8.15454545  -1.55454545
 -20.90909091 -48.30909091 -74.9        -87.43636364 -80.65454545
 -63.47272727 -44.52727273 -27.15454545 -12.27272727  -0.24545455
   9.94545455  19.17272727  27.01818182  33.19090909  37.79090909
  41.21818182  44.34545455  47.36363636  49.47272727  49.65454545
  48.07272727  45.60909091  42.3         38.40909091  34.81818182
  32.09090909  29.52727273  26.04545455  22.40909091  20.00909091
  18.00909091  15.01818182  11.69090909   9.63636364   6.41818182]",2017-07-27,1425.0,['2017-07-27_13-34-10'],0.0,1.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,22.0,['laserPulse'],band033,4.0,3.90008284615,False,,
13,[None],right_AC,2.0,[ 14.4582871  -94.49394562  51.23320159],[ 0.00010452  0.00026784  0.00083618],"[  9.87077315  11.05149394  11.49036208  10.80299631  11.93574346
  14.62087717  14.51054199  11.44239874  10.32235884   9.89568518
   8.98192661   9.46135416  10.18275175  10.54078234  10.80159059
  10.76767362  11.01156569  11.74820285  11.8662491   11.12256084
  10.93518059  11.10176862  11.57502197  11.4165301   11.03006004
  10.51169709   9.31128361   8.93798918   9.20620705   9.36862368
  10.27553885  11.38907886  12.11828877  12.08984921  11.4245171
  10.72545545  10.71571143  10.59744975  10.88046957  11.03613969]","[  1.1505618    4.14606742  10.32134831  14.48988764   8.66741573
 -13.04044944 -48.41123596 -81.73258427 -94.50561798 -84.33033708
 -63.73258427 -44.40898876 -29.7258427  -18.15505618  -8.01573034
   1.21123596   9.51910112  16.97078652  23.84494382  30.48539326
  36.91910112  42.68314607  46.71011236  48.90561798  50.38426966
  51.22921348  50.35505618  47.68988764  44.46966292  41.38876404
  38.05842697  34.32134831  30.43820225  26.51235955  22.57977528
  18.76179775  15.39325843  12.81123596  10.31460674   6.55730337]",2017-07-27,1425.0,['2017-07-27_13-34-10'],0.0,1.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,89.0,['laserPulse'],band033,4.0,8.64785218851,False,,
14,[None],right_AC,1.0,[ 16.92445104 -66.30618861  38.89453098],[  1.30653266e-05   2.67839196e-04   6.98994975e-04],"[ 19.38891436  18.12863757   5.19879794   7.12232406   6.77200118
   5.17179853  10.59575387  19.21789531  23.83416665  20.29550443
  13.44646794  11.53256259   6.50903219   5.00999002   9.661651
   8.53741764   8.93252484  13.46504734  19.44890742  23.44312266
  24.29691338  20.85833167  14.9896631   11.70299107  19.89591667
  28.33773985  28.34378239  25.05713471  27.0371966   27.99013219
  24.12110072  18.9836772   16.45926791  18.88544413  21.57701323
  19.43058157  13.10524704  10.93343496  16.17923051  21.56681479]","[ 12.7   12.45  -1.85  -6.25 -11.2  -20.95 -38.5  -57.25 -66.25 -61.45
 -48.75 -37.   -28.85 -19.8   -7.55   3.15   8.3   11.15  18.    28.6   36.6
  38.9   37.9   35.8   33.75  34.05  35.7   36.6   35.9   32.65  27.75
  23.4   19.55  16.    15.55  18.45  20.55  22.4   26.35  27.85]",2017-07-27,1425.0,['2017-07-27_13-34-10'],0.0,1.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,4.0,['laserPulse'],band033,6.0,3.98556048325,False,,
15,[None],right_AC,2.0,[ -3.11428571 -56.49770129  39.12980885],[ 0.          0.00026784  0.00086884],"[ 11.87491497  12.11829074  12.5504045   12.71804564  13.29205174
  12.74181788  13.79219356  19.13056227  22.10201251  19.52908465
  15.31320551  12.39783556  11.02333538  12.01953059  13.32802275
  13.46065822  14.67220675  15.73663058  15.4927911   15.78805772
  15.70609888  14.87589247  14.10863585  15.96959412  18.20447292
  19.06312286  19.16235503  18.26800233  17.23427214  17.33830384
  17.62748061  17.08225598  16.2064606   16.30969552  17.19909558
  16.79214872  15.61399163  15.77047099  15.96412361  13.75362826]","[ -3.11428571  -5.44761905  -6.28571429  -7.31904762 -11.05714286
 -19.41904762 -33.16666667 -48.73333333 -56.47619048 -50.57619048
 -37.06190476 -25.27142857 -17.55238095 -11.25714286  -4.4          2.98571429
   9.46666667  14.44761905  18.59047619  22.07619048  24.95238095
  27.78571429  30.08571429  32.13333333  35.06190476  38.01428571
  39.12857143  38.52380952  37.22857143  34.64761905  30.16190476
  25.67142857  21.96666667  19.43809524  16.46666667  14.24285714
  12.74285714   8.77142857   6.20952381   3.97619048]",2017-07-27,1425.0,['2017-07-27_13-34-10'],0.0,1.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0243902439024,42.0,['laserPulse'],band033,6.0,3.63720031208,False,,
16,[None],right_AC,3.0,[ -0.52588339 -82.92435243  44.07170369],[  7.83919598e-05   2.67839196e-04   8.10050251e-04],"[  9.66801168   9.59432329  10.09871957  10.36010652  10.52828376
  10.76878365  10.56285155   9.31344792   7.90472109   9.02064128
  10.79085613  11.70763749  11.37130892  10.79610589  10.33999338
  10.08477604  10.63199838  10.83673177  10.48120242  10.23430173
  10.19767622  10.30880443  10.20581586  10.45904864  10.47360004
   9.92910981   9.93169504   9.68433636   9.35371196   9.32274658
  10.50920545  11.13340956  11.42619482  10.95066518  10.23193173
  10.08676614  11.21466922  12.57717331  12.82798637  11.59117003]","[ -1.84731183  -1.33333333  -0.64086022  -1.57419355  -9.67741935
 -27.43225806 -51.45806452 -73.70322581 -82.94408602 -73.72473118
 -53.59784946 -34.00645161 -19.6         -8.88172043   0.42580645
   8.88602151  16.23225806  22.1483871   27.07956989  31.66666667
  35.88602151  39.10752688  41.42150538  43.17634409  44.03655914
  43.92903226  43.73333333  43.44946237  42.41075269  40.58064516
  37.79354839  34.94623656  32.02795699  28.89462366  25.56344086
  22.38064516  19.08172043  15.44731183  12.13978495   9.56344086]",2017-07-27,1425.0,['2017-07-27_13-34-10'],0.0,1.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,93.0,['laserPulse'],band033,6.0,7.9446479661,False,,
17,[None],right_AC,1.0,[ -3.8        -52.86868189  50.8593784 ],[ 0.          0.00026784  0.00077739],"[ 17.90463627  15.7769452   14.73520953  17.10232733  16.19807396
  13.74243064  13.6964813   12.38101773   9.44762404   9.37963752
  12.81311828  13.44773587   8.96124991   6.45154245   9.11087263
  15.1613192   18.32087334  16.50037575  10.19411595   8.56467162
  11.81456728  13.94124815  14.78680493  14.90578411  16.44695717
  18.95316332  19.86337333  18.52652153  16.58886373  16.46406997
  16.14900616  13.63548312  14.16734273  16.90159756  15.83040113
  14.31608885  17.18669253  24.17985939  26.97097699  23.0233273 ]","[ -3.8  -10.6  -16.16 -20.92 -26.12 -32.44 -40.32 -48.72 -52.88 -47.88
 -36.2  -24.88 -19.6  -18.96 -14.6   -3.92   7.64  17.96  29.    38.12
  42.8   45.76  48.48  50.64  50.36  48.16  46.72  43.8   36.16  26.52
  18.36  12.76   9.68   9.     9.32   8.96   6.76   2.32  -0.88  -2.12]",2017-07-27,1425.0,['2017-07-27_13-34-10'],0.0,1.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,5.0,['laserPulse'],band033,8.0,3.49809594549,False,,
18,[None],right_AC,2.0,[  0.9        -61.19008623  38.76167307],[ 0.          0.00026784  0.00085578],"[ 16.2369508   14.99858194  15.05819776  16.76403666  17.87083665
  15.80658105  13.07489069  11.16468863  10.95279502  10.72156895
  10.16482754  11.55813071  13.74696916  15.34351998  15.53498283
  14.98802924  15.98287987  18.22268652  18.751968    17.70735976
  17.5592092   17.96028877  17.61458116  18.58349608  18.65704563
  18.11116404  17.76700808  17.66525986  17.19545634  16.58647716
  15.88426395  14.09141196  14.84234306  16.49121322  15.61760737
  15.1060379   16.23457859  16.90550501  17.20975637  15.95263752]","[  0.9         -2.13333333  -5.21428571 -10.25714286 -17.22857143
 -27.70952381 -41.62380952 -55.38571429 -61.19047619 -56.32857143
 -45.67619048 -35.39047619 -27.74761905 -21.21428571 -13.5047619
  -4.24285714   4.84285714  12.18095238  17.91904762  23.05238095
  27.88095238  31.74285714  34.62857143  36.72857143  37.98095238
  38.6047619   38.72380952  38.0952381   37.20952381  36.38571429
  34.46666667  31.28571429  28.72380952  27.54761905  26.37142857  24.
  19.58095238  15.32380952  11.7          9.5952381 ]",2017-07-27,1425.0,['2017-07-27_13-34-10'],0.0,1.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,42.0,['laserPulse'],band033,8.0,3.88086010507,False,,
19,"[None, None]",right_AC,1.0,[ -2.44       -89.82312723  59.47458657],[ 0.          0.00026131  0.00084271],"[ 16.19986831  17.7726444   26.16286087  33.76062401  33.67892846
  31.13359315  36.3755284   44.64514905  46.92545388  45.48694025
  44.59357452  43.71114071  42.08019275  40.73305237  41.54332464
  42.98413609  42.47983522  39.0436246   34.46547     34.12229574
  37.7665278   39.09332424  39.30151255  39.52754089  40.14753293
  39.96398156  39.50345639  39.18288742  37.98352918  36.21555774
  34.73658398  33.31028603  32.27540446  30.89520927  28.39203409
  26.47663037  27.13513589  28.94574926  29.54737364  29.96992641]","[ -2.44        -3.23333333  -4.89333333  -8.24       -14.53333333
 -30.02666667 -56.66       -81.6        -89.86666667 -81.94       -69.23333333
 -58.65333333 -49.27333333 -39.03333333 -28.58666667 -19.12666667  -9.06
   3.02666667  16.10666667  28.34        37.40666667  44.8         48.26666667
  52.65333333  57.26        59.41333333  58.94        57.8         56.88666667
  55.80666667  53.82        51.64666667  50.06        48.29333333  45.62
  42.20666667  37.18        33.74        30.90666667  23.35333333]",2017-07-27,1450.0,"['2017-07-27_13-37-09', '2017-07-27_13-38-23']",0.0,2.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,30.0,"['laserPulse', 'noisebursts']",band033,4.0,2.51558112958,False,,
