,behavior,cluster,date,depth,ephys,isiViolations,nSpikes,sessiontype,subject,tetrode,tetrodes
0,[None],1.0,2016-08-29,673.0,['2016-08-29_12-24-09'],0.0,2.0,['noisebursts'],band004,2.0,"[2, 4]"
1,[None],2.0,2016-08-29,673.0,['2016-08-29_12-24-09'],0.0,36.0,['noisebursts'],band004,2.0,"[2, 4]"
2,[None],1.0,2016-08-29,673.0,['2016-08-29_12-24-09'],4.0,26.0,['noisebursts'],band004,4.0,"[2, 4]"
3,"[None, None, None, None]",1.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",0.0,6.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,1.0,"[1, 2, 4]"
4,"[None, None, None, None]",2.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",1.5037593985,134.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,1.0,"[1, 2, 4]"
5,"[None, None, None, None]",1.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",16.6666666667,7.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,2.0,"[1, 2, 4]"
6,"[None, None, None, None]",2.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",0.0,164.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,2.0,"[1, 2, 4]"
7,"[None, None, None, None]",3.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",0.271739130435,369.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,2.0,"[1, 2, 4]"
8,"[None, None, None, None]",4.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",0.93896713615,214.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,2.0,"[1, 2, 4]"
9,"[None, None, None, None]",5.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",0.0,283.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,2.0,"[1, 2, 4]"
10,"[None, None, None, None]",6.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",0.255102040816,393.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,2.0,"[1, 2, 4]"
11,"[None, None, None, None]",1.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",0.0,11.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,4.0,"[1, 2, 4]"
12,"[None, None, None, None]",2.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",0.116822429907,857.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,4.0,"[1, 2, 4]"
13,"[None, None, None, None]",3.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",0.123762376238,809.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,4.0,"[1, 2, 4]"
14,"[None, None, None, None]",4.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",0.732600732601,274.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,4.0,"[1, 2, 4]"
15,"[None, None, None, None]",5.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",0.0,163.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,4.0,"[1, 2, 4]"
16,"[None, None, None, None]",6.0,2016-08-29,678.0,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",0.0,169.0,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,4.0,"[1, 2, 4]"
17,[None],1.0,2016-08-29,686.0,['2016-08-29_12-51-11'],0.0,8.0,['laserPulse'],band004,1.0,"[1, 2, 4]"
18,[None],2.0,2016-08-29,686.0,['2016-08-29_12-51-11'],0.0,29.0,['laserPulse'],band004,1.0,"[1, 2, 4]"
19,[None],1.0,2016-08-29,686.0,['2016-08-29_12-51-11'],,1.0,['laserPulse'],band004,2.0,"[1, 2, 4]"
20,[None],2.0,2016-08-29,686.0,['2016-08-29_12-51-11'],0.0,74.0,['laserPulse'],band004,2.0,"[1, 2, 4]"
21,[None],3.0,2016-08-29,686.0,['2016-08-29_12-51-11'],1.96078431373,52.0,['laserPulse'],band004,2.0,"[1, 2, 4]"
22,[None],1.0,2016-08-29,686.0,['2016-08-29_12-51-11'],0.0,10.0,['laserPulse'],band004,4.0,"[1, 2, 4]"
23,[None],2.0,2016-08-29,686.0,['2016-08-29_12-51-11'],0.0,164.0,['laserPulse'],band004,4.0,"[1, 2, 4]"
24,[None],3.0,2016-08-29,686.0,['2016-08-29_12-51-11'],0.0,211.0,['laserPulse'],band004,4.0,"[1, 2, 4]"
