,behavior,cluster,date,depth,ephys,isiViolations,nSpikes,sessiontype,subject,tetrode,tetrodes
0,"[None, None, None, None, 'band005_am_tuning_curve_20160916a.h5']",1.0,2016-09-16,1037.0,"['2016-09-16_12-14-13', '2016-09-16_12-17-37', '2016-09-16_12-20-17', '2016-09-16_12-22-56', '2016-09-16_12-25-50']",4.54545454545,23.0,"['noisebursts', 'noisebursts', 'laserPulse', 'laserTrain', 'tuningCurve']",band005,2.0,[2]
1,"[None, None, None, None, 'band005_am_tuning_curve_20160916a.h5']",2.0,2016-09-16,1037.0,"['2016-09-16_12-14-13', '2016-09-16_12-17-37', '2016-09-16_12-20-17', '2016-09-16_12-22-56', '2016-09-16_12-25-50']",0.0,405.0,"['noisebursts', 'noisebursts', 'laserPulse', 'laserTrain', 'tuningCurve']",band005,2.0,[2]
2,"[None, None, None, None, 'band005_am_tuning_curve_20160916a.h5']",3.0,2016-09-16,1037.0,"['2016-09-16_12-14-13', '2016-09-16_12-17-37', '2016-09-16_12-20-17', '2016-09-16_12-22-56', '2016-09-16_12-25-50']",0.0,122.0,"['noisebursts', 'noisebursts', 'laserPulse', 'laserTrain', 'tuningCurve']",band005,2.0,[2]
3,"[None, None, None, None, 'band005_am_tuning_curve_20160916a.h5']",4.0,2016-09-16,1037.0,"['2016-09-16_12-14-13', '2016-09-16_12-17-37', '2016-09-16_12-20-17', '2016-09-16_12-22-56', '2016-09-16_12-25-50']",0.0,658.0,"['noisebursts', 'noisebursts', 'laserPulse', 'laserTrain', 'tuningCurve']",band005,2.0,[2]
4,"[None, None, None, None, 'band005_am_tuning_curve_20160916a.h5']",5.0,2016-09-16,1037.0,"['2016-09-16_12-14-13', '2016-09-16_12-17-37', '2016-09-16_12-20-17', '2016-09-16_12-22-56', '2016-09-16_12-25-50']",0.0,392.0,"['noisebursts', 'noisebursts', 'laserPulse', 'laserTrain', 'tuningCurve']",band005,2.0,[2]
5,"[None, None, 'band005_am_tuning_curve_20160916b.h5', 'band005_am_tuning_curve_20160916c.h5', None, None, 'band005_bandwidth_am_20160916d.h5']",1.0,2016-09-16,1140.0,"['2016-09-16_12-54-16', '2016-09-16_12-56-52', '2016-09-16_13-00-40', '2016-09-16_13-13-32', '2016-09-16_13-19-50', '2016-09-16_13-22-36', '2016-09-16_13-25-23']",8.33333333333,13.0,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band005,2.0,"[2, 4, 6]"
6,"[None, None, 'band005_am_tuning_curve_20160916b.h5', 'band005_am_tuning_curve_20160916c.h5', None, None, 'band005_bandwidth_am_20160916d.h5']",2.0,2016-09-16,1140.0,"['2016-09-16_12-54-16', '2016-09-16_12-56-52', '2016-09-16_13-00-40', '2016-09-16_13-13-32', '2016-09-16_13-19-50', '2016-09-16_13-22-36', '2016-09-16_13-25-23']",2.79322213397,7555.0,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band005,2.0,"[2, 4, 6]"
7,"[None, None, 'band005_am_tuning_curve_20160916b.h5', 'band005_am_tuning_curve_20160916c.h5', None, None, 'band005_bandwidth_am_20160916d.h5']",3.0,2016-09-16,1140.0,"['2016-09-16_12-54-16', '2016-09-16_12-56-52', '2016-09-16_13-00-40', '2016-09-16_13-13-32', '2016-09-16_13-19-50', '2016-09-16_13-22-36', '2016-09-16_13-25-23']",0.406834825061,3688.0,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band005,2.0,"[2, 4, 6]"
8,"[None, None, 'band005_am_tuning_curve_20160916b.h5', 'band005_am_tuning_curve_20160916c.h5', None, None, 'band005_bandwidth_am_20160916d.h5']",4.0,2016-09-16,1140.0,"['2016-09-16_12-54-16', '2016-09-16_12-56-52', '2016-09-16_13-00-40', '2016-09-16_13-13-32', '2016-09-16_13-19-50', '2016-09-16_13-22-36', '2016-09-16_13-25-23']",0.437588073871,40450.0,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band005,2.0,"[2, 4, 6]"
9,"[None, None, 'band005_am_tuning_curve_20160916b.h5', 'band005_am_tuning_curve_20160916c.h5', None, None, 'band005_bandwidth_am_20160916d.h5']",5.0,2016-09-16,1140.0,"['2016-09-16_12-54-16', '2016-09-16_12-56-52', '2016-09-16_13-00-40', '2016-09-16_13-13-32', '2016-09-16_13-19-50', '2016-09-16_13-22-36', '2016-09-16_13-25-23']",0.431105952578,6032.0,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band005,2.0,"[2, 4, 6]"
