BarrierType,count,mean,std,min,25%,50%,75%,max
perforated,468.0,0.3091004273504221,0.2761799148257032,0.0,0.08999999999991815,0.20500000000018304,0.47775000000001455,0.9990000000000236
solid,536.0,0.30309141791044797,0.2772236538320094,0.0,0.07574999999999932,0.20549999999997226,0.4940000000000353,0.9980000000000473
